doc_id,row_id,review_rating,latency_sec,total_duration_sec,load_duration_sec,prompt_eval_duration_sec,eval_duration_sec,prompt_tokens,completion_tokens,total_tokens,completion_tokens_per_sec,total_tokens_per_sec,done_reason,model
rev_000000,0,3,6.379,4.32019,0.137863,0.132243,1.357331,897,196,1093,144.401034,252.998132,stop,scb10x/typhoon2.5-qwen3-4b
rev_000003,3,5,4.725,2.674535,0.138338,0.150319,0.994634,1024,144,1168,144.776873,436.711428,stop,scb10x/typhoon2.5-qwen3-4b
rev_000008,8,5,4.449,2.434859,0.132277,0.146687,0.540825,1024,80,1104,147.922156,453.414346,stop,scb10x/typhoon2.5-qwen3-4b
